fundHouse,schemeCode,fundName
JM Financial Mutual Fund,133407,JM Balanced Fund - Annual Bonus Option
JM Financial Mutual Fund,131476,JM Balanced Fund - Annual Dividend Option
JM Financial Mutual Fund,133400,JM Balanced Fund - Bonus Option - Principal Units
JM Financial Mutual Fund,133403,JM Balanced Fund - Half Yearly Bonus Option - Principal Units
JM Financial Mutual Fund,133408,JM Balanced Fund - Half Yearly Dividend Option
JM Financial Mutual Fund,133404,JM Balanced Fund - Monthly Dividend Option
JM Financial Mutual Fund,133410,JM Balanced Fund - Quarterly Bonus Option - Principal Units
JM Financial Mutual Fund,133405,JM Balanced Fund - Quarterly Dividend Option
JM Financial Mutual Fund,100220,JM Balanced Fund-Dividend
JM Financial Mutual Fund,100221,JM Balanced Fund-Growth
Kotak Mahindra Mutual Fund,100286,Kotak Balance
Kotak Mahindra Mutual Fund,133035,Kotak Balance - Direct Growth
Kotak Mahindra Mutual Fund,119767,Kotak Balance - Dividend - Direct
Kotak Mahindra Mutual Fund,133036,Kotak Balance - Growth
LIC Mutual Fund,120260,LIC MF Balanced Fund-Direct Plan Dividend Option
LIC Mutual Fund,120261,LIC MF Balanced Fund-Direct Plan Growth Option
LIC Mutual Fund,100323,LIC MF Balanced Fund-Growth
LIC Mutual Fund,100321,LICMF Balanced Fund-Dividend
PRINCIPAL Mutual Fund,119484,Principal Balanced Fund- Direct Plan - Growth Option
PRINCIPAL Mutual Fund,101266,Principal Balanced Fund- Monthly Dividend
PRINCIPAL Mutual Fund,119485,Principal Balanced Fund-Direct Plan - Monthly Dividend Option
PRINCIPAL Mutual Fund,101265,Principal Balanced Fund-Growth
Reliance Mutual Fund,118794,Reliance Regular Savings Fund - Balanced Option  - Direct Plan Growth Plan
Reliance Mutual Fund,122766,Reliance Regular Savings Fund - Balanced Option - Direct Plan - Quarterly Dividend Plan
Reliance Mutual Fund,118793,Reliance Regular Savings Fund - Balanced Option - Direct Plan Dividend Plan
Reliance Mutual Fund,112937,Reliance Regular Savings Fund - Balanced Option - Dividend Plan
Reliance Mutual Fund,112936,Reliance Regular Savings Fund - Balanced Option - Growth Plan
Reliance Mutual Fund,122765,Reliance Regular Savings Fund - Balanced Option - Quarterly Dividend Plan
Reliance Mutual Fund,139679,Reliance Regular Savings Fund- Balanced Option- Direct Plan-Monthly Dividend Plan
Reliance Mutual Fund,139680,Reliance Regular Savings Fund- Balanced Option- Monthly Dividend Plan
SBI Mutual Fund,119604,SBI Magnum Balanced Fund - DIRECT PLAN - Dividend
SBI Mutual Fund,101551,SBI Magnum Balanced Fund - REGULAR PLAN - Dividend
SBI Mutual Fund,119609,SBI Magnum Balanced Fund - DIRECT PLAN - Growth
SBI Mutual Fund,102885,SBI Magnum Balanced Fund - REGULAR PLAN -Growth
Sundaram Mutual Fund,100617,Sundaram Balanced Fund - Appreciation Option
Sundaram Mutual Fund,119542,Sundaram Balanced Fund - Direct Plan - Growth Option
Sundaram Mutual Fund,119545,Sundaram Balanced Fund - Direct Plan - Dividend Option
Sundaram Mutual Fund,101472,Sundaram Balanced Fund - Dividend Option
Sundaram Mutual Fund,111924,Sundaram Balanced Fund - Institutional Dividend Option
Tata Mutual Fund,119053,Tata Balanced Fund -Direct Plan- Growth
Tata Mutual Fund,119057,Tata Balanced Fund -Direct Plan- Monthly Dividend option
Tata Mutual Fund,119058,Tata Balanced Fund -Direct Plan-Dividend Option
Tata Mutual Fund,101222,Tata Balanced Fund Regular Plan - Dividend Option
Tata Mutual Fund,100414,Tata Balanced Fund Regular Plan - Growth
Tata Mutual Fund,113134,Tata Balanced Fund Regular Plan- Monthly Dividend Option
Tata Mutual Fund,101491,Tata Young Citizen [After 7 years] Regular Plan
Tata Mutual Fund,101490,Tata Young Citizen Fund [>3 years upto 7 years] Regular Plan
Tata Mutual Fund,101489,Tata Young Citizen Fund [Upto 3 years] Regular Plan
Tata Mutual Fund,119299,Tata Young Citizens' Fund [> 3 years upto 7 years]-Direct Plan Growth
Tata Mutual Fund,119296,Tata Young Citizens' Fund [Upto 3 years]-Direct Plan Growth
Tata Mutual Fund,119312,Tata Young Citizens' Fund-(After 7 years)-Direct Plan  Growth
Union Mutual Fund,119328,Union Asset Allocation Fund - Moderate Plan - Direct Plan - Dividend Option
Union Mutual Fund,119327,Union Asset Allocation Fund - Moderate Plan - Direct Plan - Growth Option
Union Mutual Fund,117394,Union Asset Allocation Fund - Moderate Plan - Dividend Option
Union Mutual Fund,117393,Union Asset Allocation Fund - Moderate Plan - Growth Option
UTI Mutual Fund,100684,UTI - Balanced Fund-Growth
UTI Mutual Fund,120674,UTI - Balanced Fund-Growth - Direct
UTI Mutual Fund,100685,UTI - Balanced Fund-Income
UTI Mutual Fund,120673,UTI - Balanced Fund-Income - Direct
UTI Mutual Fund,101662,UTI - Variable Investment Scheme-Growth Option
UTI Mutual Fund,101661,UTI - Variable Investment Scheme-Income Option
Axis Mutual Fund,120502,Axis Long Term Equity Fund - Direct Plan - Dividend option
Axis Mutual Fund,120503,Axis Long Term Equity Fund - Direct Plan - Growth Option
Axis Mutual Fund,112322,Axis Long Term Equity Fund - Dividend
Axis Mutual Fund,112323,Axis Long Term Equity Fund - Growth
Baroda Pioneer Mutual Fund,100068,BARODA PIONEER ELSS 96 - Plan A - Dividend Payout Option
Baroda Pioneer Mutual Fund,119339,BARODA PIONEER ELSS 96 - Plan B (Direct) - Dividend Payout Option
Baroda Pioneer Mutual Fund,125111,Baroda Pioneer ELSS 96 - Plan B (Direct)- Bonus Option
Baroda Pioneer Mutual Fund,125110,Baroda Pioneer ELSS 96 Fund - Plan A- Bonus Option
Baroda Pioneer Mutual Fund,134044,Baroda Pioneer ELSS 96 Plan A -Growth Option
Baroda Pioneer Mutual Fund,134045,Baroda Pioneer ELSS 96 Plan B(Direct) -Growth Option
Birla Sun Life Mutual Fund,119660,Birla Sun Life Tax Plan - Direct Plan - Dividend Option
Birla Sun Life Mutual Fund,119661,Birla Sun Life Tax Plan - Direct Plan - Growth Option
Birla Sun Life Mutual Fund,100067,Birla Sun Life Tax Plan - Regular Plan - Dividend Option
Birla Sun Life Mutual Fund,104331,Birla Sun Life Tax Plan - Regular Plan - Growth Option
Birla Sun Life Mutual Fund,103164,Birla Sun Life Relief 96 - Dividend Option
Birla Sun Life Mutual Fund,107745,Birla Sun Life Relief 96 - Growth Option
Birla Sun Life Mutual Fund,119543,Birla Sun Life Tax Relief 96 - Dividend - Direct Plan
Birla Sun Life Mutual Fund,119544,Birla Sun Life Tax Relief 96 - Growth - Direct Plan
Birla Sun Life Mutual Fund,131741,Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option
Birla Sun Life Mutual Fund,131740,Birla Sun Life Tax Savings Fund - Direct Plan - Dividend Option
Birla Sun Life Mutual Fund,131739,Birla Sun Life Tax Savings Fund - Direct Plan - Growth Option
Birla Sun Life Mutual Fund,131738,Birla Sun Life Tax Savings Fund - Regular Plan - Bonus Option
Birla Sun Life Mutual Fund,131737,Birla Sun Life Tax Savings Fund - Regular Plan - Dividend Option
Birla Sun Life Mutual Fund,131736,Birla Sun Life Tax Savings Fund - Regular Plan - Growth Option
BNP Paribas Mutual Fund,120146,BNP Paribas Long Term Equity Fund - Direct Plan - Dividend Option
BNP Paribas Mutual Fund,120147,BNP Paribas Long Term Equity Fund - Direct Plan - Growth Option
BNP Paribas Mutual Fund,113463,BNP Paribas Long Term Equity Fund - Growth Option
BNP Paribas Mutual Fund,113464,BNP Paribas Long Term Equity Fund-Dividend Option
BOI AXA Mutual Fund,119352,BOI AXA Tax Advantage Fund-Direct Plan-Dividend
BOI AXA Mutual Fund,111711,BOI AXA Tax Advantage Fund-ECO Plan-Dividend
BOI AXA Mutual Fund,111709,BOI AXA Tax Advantage Fund-ECO Plan-Growth
BOI AXA Mutual Fund,111710,BOI AXA Tax Advantage Fund-Regular Plan- Growth
BOI AXA Mutual Fund,111708,BOI AXA Tax Advantage Fund-Regular Plan-Dividend
BOI AXA Mutual Fund,119351,OI AXA Tax Advantage Fund-Direct Plan- Growth
Canara Robeco Mutual Fund,118286,Canara Robeco Equity Taxsaver - Direct Plan - Dividend Option
Canara Robeco Mutual Fund,118285,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option
Canara Robeco Mutual Fund,100593,Canara Robeco Equity Taxsaver - Regular Plan - Dividend
Canara Robeco Mutual Fund,111722,Canara Robeco Equity Taxsaver - Regular Plan - Growth
DHFL Pramerica Mutual Fund,138393,DHFL Pramerica Tax Plan - Bonus
DHFL Pramerica Mutual Fund,138396,DHFL Pramerica Tax Plan - Direct Plan - Bonus
DHFL Pramerica Mutual Fund,138395,DHFL Pramerica Tax Plan - Direct Plan - Dividend
DHFL Pramerica Mutual Fund,138394,DHFL Pramerica Tax Plan - Direct Plan - Growth
DHFL Pramerica Mutual Fund,138392,DHFL Pramerica Tax Plan-DIVIDEND
DHFL Pramerica Mutual Fund,138391,DHFL Pramerica Tax Plan-GROWTH
DHFL Pramerica Mutual Fund,135600,DHFL Pramerica Tax Savings Fund - Direct Plan - Dividend Option
DHFL Pramerica Mutual Fund,135601,DHFL Pramerica Tax Savings Fund - Direct Plan - Growth Option
DHFL Pramerica Mutual Fund,135599,DHFL Pramerica Tax Savings Fund - Regular Plan - Dividend Option
DHFL Pramerica Mutual Fund,135598,DHFL Pramerica Tax Savings Fund - Regular Plan - Growth Option
DSP BlackRock Mutual Fund,119241,DSP BlackRock Tax Saver Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119242,DSP BlackRock Tax Saver Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,104773,DSP BlackRock Tax Saver Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,104772,DSP BlackRock Tax Saver Fund - Regular Plan - Growth
Edelweiss Mutual Fund,118619,EDELWEISS ELSS FUND - Direct Plan-Dividend Option
Edelweiss Mutual Fund,118620,EDELWEISS ELSS FUND - Direct Plan-Growth Option
Edelweiss Mutual Fund,111639,EDELWEISS ELSS FUND - Dividend Option
Edelweiss Mutual Fund,111638,EDELWEISS ELSS FUND - Growth Option
Edelweiss Mutual Fund,140240,Edelweiss Tax Advantage Fund - Direct Plan - Dividend Option
Edelweiss Mutual Fund,140241,Edelweiss Tax Advantage Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140239,Edelweiss Tax Advantage Fund - Regular Plan - Dividend Option
Edelweiss Mutual Fund,140238,Edelweiss Tax Advantage Fund - Regular Plan - Growth Option
Escorts Mutual Fund,100174,Escorts Tax Plan-Dividend
Escorts Mutual Fund,120846,Escorts Tax Plan-Dividend Option-Direct Plan
Escorts Mutual Fund,100175,Escorts Tax Plan-Growth
Escorts Mutual Fund,120847,Escorts Tax Plan-Growth Option-Direct Plan
Franklin Templeton Mutual Fund,118541,Franklin India TAXSHIELD - Direct - Dividend
Franklin Templeton Mutual Fund,118540,Franklin India TAXSHIELD - Direct - Growth
Franklin Templeton Mutual Fund,100525,Franklin India Taxshield-Dividend
Franklin Templeton Mutual Fund,100526,Franklin India Taxshield-Growth
HDFC Mutual Fund,100997,HDFC  Long Term Advantage Fund - Dividend Option
HDFC Mutual Fund,100998,HDFC  Long Term Advantage Fund - Growth Option
HDFC Mutual Fund,118928,HDFC Long Term Advantage Fund -Direct Plan - Dividend Option
HDFC Mutual Fund,118929,HDFC Long Term Advantage Fund -Direct Plan - Growth Option
HDFC Mutual Fund,119059,HDFC TaxSaver -Direct Plan - Dividend Option
HDFC Mutual Fund,119060,HDFC TaxSaver -Direct Plan - Growth Option
HDFC Mutual Fund,101980,HDFC TaxSaver-Dividend Plan
HDFC Mutual Fund,101979,HDFC TaxSaver-Growth Plan
HSBC Mutual Fund,104706,HSBC Tax Saver Equity Fund - Dividend
HSBC Mutual Fund,120078,HSBC Tax Saver Equity Fund - Dividend Direct
HSBC Mutual Fund,104707,HSBC Tax Saver Equity Fund - Growth
HSBC Mutual Fund,120079,HSBC Tax Saver Equity Fund - Growth Direct
ICICI Prudential Mutual Fund,120593,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,120592,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth
ICICI Prudential Mutual Fund,100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth
ICICI Prudential Mutual Fund,100353,ICICI Prudential Long Term Equity Fund (Tax Saving)- Dividend
IDBI Mutual Fund,123635,IDBI Equity Advantage Fund - Dividend Direct
IDBI Mutual Fund,123636,IDBI Equity Advantage Fund - Dividend Regular
IDBI Mutual Fund,123637,IDBI Equity Advantage Fund - Growth Direct
IDBI Mutual Fund,123638,IDBI Equity Advantage Fund - Growth Regular
IDFC Mutual Fund,118472,IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Dividend
IDFC Mutual Fund,118473,IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Growth
IDFC Mutual Fund,111570,IDFC Tax Advantage  (ELSS) Fund-Regular Plan-Dividend
IDFC Mutual Fund,111569,IDFC Tax Advantage  (ELSS) Fund-Regular Plan-Growth
Invesco Mutual Fund,120417,Invesco India Tax Plan - Direct Plan - Dividend
Invesco Mutual Fund,120416,Invesco India Tax Plan - Direct Plan - Growth
Invesco Mutual Fund,104635,Invesco India Tax Plan - Dividend
Invesco Mutual Fund,104636,Invesco India Tax Plan - Growth
JM Financial Mutual Fund,120493,JM Tax Gain Fund (Direct) - Dividend Option
JM Financial Mutual Fund,120494,JM Tax Gain Fund (Direct) - Growth Option
JM Financial Mutual Fund,107287,JM Tax Gain Fund - Dividend option
JM Financial Mutual Fund,107288,JM Tax Gain Fund - Growth option
Kotak Mahindra Mutual Fund,103338,Kotak Tax Saver-Scheme-Dividend
Kotak Mahindra Mutual Fund,119772,Kotak Tax Saver-Scheme-Dividend - Direct
Kotak Mahindra Mutual Fund,103339,Kotak Tax Saver-Scheme-Growth
Kotak Mahindra Mutual Fund,119773,Kotak Tax Saver-Scheme-Growth - Direct
L&T Mutual Fund,119417,L&T  Tax Advantage Fund-Direct Plan-Growth Option
L&T Mutual Fund,118047,L&T  Tax Advantage Fund-Regular Plan-Growth Option
L&T Mutual Fund,119418,L&T Tax Advantage Fund-Direct Paln-Dividend Option
L&T Mutual Fund,118048,L&T Tax Advantage Fund-Regular Plan-Dividend Option
L&T Mutual Fund,112538,L&T Tax Saver Fund-Cumulative Option
L&T Mutual Fund,112537,L&T Tax Saver Fund-Dividend Option
LIC Mutual Fund,120269,LIC MF Taxplan-Direct Plan Dividend Option
LIC Mutual Fund,120270,LIC MF Taxplan-Direct Plan Growth Option
LIC Mutual Fund,100864,LIC MF Taxplan-Dividend
LIC Mutual Fund,100865,LIC MF Taxplan-Growth
LIC Mutual Fund,135976,LIC MF UNIT LINKED INSURANCE SCHEME-10 YEARS REGULAR PREMIUM REDUCING COVER QUARTERLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135979,LIC MF UNIT LINKED INSURANCE SCHEME-10 YEARS REGULAR PREMIUM REDUCING COVER QUARTERLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135977,LIC MF UNIT LINKED INSURANCE SCHEME-10 YEARS REGULAR PREMIUM UNIFORM COVER QUARTERLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135983,LIC MF UNIT LINKED INSURANCE SCHEME-10 YEARS REGULAR PREMIUM UNIFORM COVER QUARTERLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134878,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM REDUCING COVER HALF-YEARLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134865,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM REDUCING COVER HALF-YEARLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134847,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM REDUCING COVER MONTHLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134877,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM REDUCING COVER YEARLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134864,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM REDUCING COVER YEARLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134879,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM UNIFORM COVER HALF-YEARLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134867,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM UNIFORM COVER HALF-YEARLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134881,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM UNIFORM COVER MONTHLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134863,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM UNIFORM COVER MONTHLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134880,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM UNIFORM COVER YEARLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134868,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS REGULAR PREMIUM UNIFORM COVER YEARLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134875,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS SINGLE PREMIUM-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134846,LIC MF UNIT LINKED INSURANCE SCHEME-10 YRS SINGLE PREMIUM-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134876,LIC MF UNIT LINKED INSURANCE SCHEME-10YRS REGULAR PREMIUM REDUCING COVER MONTHLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135978,LIC MF UNIT LINKED INSURANCE SCHEME-15 YEARS REGULAR PREMIUM REDUCING COVER QUARTERLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135981,LIC MF UNIT LINKED INSURANCE SCHEME-15 YEARS REGULAR PREMIUM REDUCING COVER QUARTERLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135980,LIC MF UNIT LINKED INSURANCE SCHEME-15 YEARS REGULAR PREMIUM UNIFORM COVER QUARTERLY-DIRECT PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,135982,LIC MF UNIT LINKED INSURANCE SCHEME-15 YEARS REGULAR PREMIUM UNIFORM COVER QUARTERLY-REGULAR PLAN-DIVIDEND REINVESTMENT
LIC Mutual Fund,134882,LIC MF UNIT LINKED INSURANCE SCHEME-15 YRS REGULAR PREMIUM REDUCING COVER HALF-YEARLY-DIRECT PLAN-DIVIDEND REINVESTMENT
