Scheme_Code,Scheme_Name
112720,Axis Treasury Advantage Fund - Retail Plan - Daily Dividend Option
112717,Axis Treasury Advantage Fund - Retail Plan - Growth Option
112718,Axis Treasury Advantage Fund - Retail Plan - Monthly Dividend Option
112719,Axis Treasury Advantage Fund - Retail Plan - Weekly Dividend Option
112211,Axis Liquid Fund - Daily Dividend Option
128954,Axis Liquid Fund - Direct plan - Bonus Option
120388,Axis Liquid Fund - Direct Plan - Daily Dividend Option
120389,Axis Liquid Fund - Direct Plan - Growth Option
120391,Axis Liquid Fund - Direct Plan - Monthly Dividend Option
120390,Axis Liquid Fund - Direct Plan - Weekly Dividend Option
112210,Axis Liquid Fund - Growth Option
112213,Axis Liquid Fund - Monthly Dividend Option
112712,Axis Liquid Fund - Retail Plan - Daily Dividend Option
112713,Axis Liquid Fund - Retail Plan - Growth Option
112714,Axis Liquid Fund - Retail Plan - Monthly Dividend Option
112715,Axis Liquid Fund - Retail Plan - Weekly Dividend Option
112212,Axis Liquid Fund - Weekly Dividend Option
140397,Axis Emerging Opportunities Fund - Series 1 (1400 Days) - Direct Plan - Dividend Option
140398,Axis Emerging Opportunities Fund - Series 1 (1400 Days) - Direct Plan - Growth Option
140399,Axis Emerging Opportunities Fund - Series 1 (1400 Days) - Regular Plan - Dividend Option
140400,Axis Emerging Opportunities Fund - Series 1 (1400 Days) - Regular Plan - Growth Option
140591,Axis Emerging Opportunities Fund - Series 2 (1400 Days) - Direct Plan - Dividend Option
140594,Axis Emerging Opportunities Fund - Series 2 (1400 Days) - Direct Plan - Growth Option
140593,Axis Emerging Opportunities Fund - Series 2 (1400 Days) - Regular Plan - Dividend Option
140592,Axis Emerging Opportunities Fund - Series 2 (1400 Days) - Regular Plan - Growth Option
125351,Axis Small Cap Fund - Direct Plan - Dividend
125354,Axis Small Cap Fund - Direct Plan - Growth
125352,Axis Small Cap Fund - Regular Plan - Dividend
125350,Axis Small Cap Fund - Regular Plan - Growth
117980,Axis Capital Protection Oriented Fund - Series 5 - Dividend option
117979,Axis Capital Protection Oriented Fund - Series 5 - Growth Option
125017,Axis Fixed Term Plan - Series 42 - Direct Plan - Growth
125014,Axis Fixed Term Plan - Series 42 - Regular Plan - Dividend
125013,Axis Fixed Term Plan - Series 42 - Regular Plan - Growth
125015,Axis Fixed Term Plan - Series 42 - Regular Plan - Quarterly Dividend
125431,Axis Fixed Term Plan - Series 43 - Direct Plan - Dividend
125429,Axis Fixed Term Plan - Series 43 - Direct Plan - growth
125430,Axis Fixed Term Plan - Series 43 - Direct Plan - Quarterly Dividend
125427,Axis Fixed Term Plan - Series 43 - Regular Plan - Dividend
125426,Axis Fixed Term Plan - Series 43 - Regular Plan - Growth
125428,Axis Fixed Term Plan - Series 43 - Regular Plan - Quarterly dividend
126203,Axis Fixed Term Plan - Series 47 - Direct Plan - Growth
126201,Axis Fixed Term Plan - Series 47 - Regular Plan - Dividend
126200,Axis Fixed Term Plan - Series 47 - Regular Plan - Growth
126202,Axis Fixed Term Plan - Series 47 - Regular Plan - Quarterly Dividend
126252,Axis Fixed Term Plan - Series 48 (30 Days) - Direct - Dividend
126251,Axis Fixed Term Plan - Series 48 (30 Days) - Direct Plan - Growth
126249,Axis Fixed Term Plan - Series 48 (30 Days) - Regular Plan - Dividend (Payout Facility)
126248,Axis Fixed Term Plan - Series 48 (30 Days) - Regular Plan - Growth
126250,Axis Fixed Term Plan - Series 48 (30 Days) - Regular Plan - Half Yearly Dividend
126759,Axis Fixed Term Plan - Series 49 - Direct Plan - Growth
126757,Axis Fixed Term Plan - Series 49 - Regular Plan - Dividend
126756,Axis Fixed Term Plan - Series 49 - Regular Plan - Growth
126758,Axis Fixed Term Plan - Series 49 - Regular Plan - Quarterly Dividend
127276,Axis Fixed Term Plan - Series 52 - Direct Plan - Growth
127273,Axis Fixed Term Plan - Series 52 - Regular Plan - Dividend
127272,Axis Fixed Term Plan - Series 52 - Regular Plan - Growth
127274,Axis Fixed Term Plan - Series 52 - Regular Plan - Quarterly Dividend
127278,Axis Fixed Term Plan - Series 53 (1150 Days) - Direct Plan - Growth
127280,Axis Fixed Term Plan - Series 53 (1150 Days) - Regular Plan - Dividend
127279,Axis Fixed Term Plan - Series 53 (1150 Days) - Regular Plan - Growth
129384,Axis Fixed Term plan - Series 64 - Direct Plan - Dividend
129383,Axis Fixed Term Plan - Series 64 - Direct plan - Growth
129386,Axis Fixed Term Plan - Series 64 - Regular plan -  Dividend
129381,Axis Fixed Term Plan - Series 64 - Regular Plan - Growth
129382,Axis Fixed Term Plan - Series 64 - Regular Plan - Quarterly dividend
130047,Axis Fixed Term Plan - Series 67 (1218 days) - Direct Plan - Growth
130045,Axis Fixed Term Plan - Series 67 (1218 days) - Regular Plan - Dividend
130044,Axis Fixed Term Plan - Series 67 (1218 days) - Regular plan - Growth
130665,Axis Fixed Term Plan - Series 69 (3 Years) - Direct Plan - Growth
130663,Axis Fixed Term Plan - Series 69 (3 Years) - Regular Plan - Dividend
130662,Axis Fixed Term Plan - Series 69 (3 Years) - Regular Plan - Growth
130664,Axis Fixed Term Plan - Series 69 - (3 Years) - Regular Plan - Half Yearly Dividend
134301,Axis Fixed Term Plan - Series 74 (1105 days) - Direct Plan - Dividend
134302,Axis Fixed Term Plan - Series 74 (1105 days) - Direct Plan - Growth
134300,Axis Fixed Term Plan - Series 74 (1105 days) - Regular Plan - Dividend
134299,Axis Fixed Term Plan - Series 74 (1105 days) - Regular Plan - Growth
134303,Axis Fixed Term Plan - Series 74 (1105 days) - Regular Plan - Half yearly dividend
128151,Axis Fixed Term Plan - Series 61 (1122 Days) - Direct Plan - Growth
128148,Axis Fixed Term Plan - Series 61 (1122 Days) - Regular Plan - Dividend
128147,Axis Fixed Term Plan - Series 61 (1122 Days) - Regular Plan - Growth
128149,Axis Fixed Term Plan - Series 61 (1122 Days) - Regular Plan - Half yearly dividend
133430,Axis Hybrid Fund - Series 18 - Direct Plan - Direct Plan - Dividend
133429,Axis Hybrid Fund - Series 18 - Direct Plan - Growth
133428,Axis Hybrid Fund - Series 18 - Regular Plan - Dividend
133427,Axis Hybrid Fund - Series 18 - Regular Plan - Growth
123980,Axis Hybrid Fund - Series 7 (1305 Day) - Direct Plan - Growth
123981,Axis Hybrid Fund - Series 7 (1305 Days) - Direct Plan -Dividend
123979,Axis Hybrid Fund - Series 7 (1305 Days) - Regular Plan - Dividend
123978,Axis Hybrid Fund - Series 7 (1305 Days) - Regular Plan - Growth
129390,Axis Hybrid Fund - Series 11 - Direct Plan - Dividend
129389,Axis Hybrid Fund - Series 11 - Direct Plan - Growth
129388,Axis Hybrid Fund - Series 11 - Regular Plan - Dividend
129387,Axis Hybrid Fund - Series 11 - Regular plan - Growth
129756,Axis Hybrid Fund - Series 12 - Direct Plan - Dividend
129755,Axis Hybrid Fund - Series 12 - Direct Plan - Growth
129754,Axis Hybrid Fund - Series 12 - Regular Plan - Dividend
129753,Axis Hybrid Fund - Series 12 - Regular Plan - Growth
130060,Axis Hybrid Fund - Series 13 - Direct Plan - Dividend
130059,Axis Hybrid Fund - Series 13 - Direct Plan - Growth
130058,Axis Hybrid Fund - Series 13 - Regular Plan - Dividend
130057,Axis Hybrid Fund - Series 13 - Regular Plan - Growth
130887,Axis Hybrid Fund - Series 14 - Direct Plan - Dividend
130886,Axis Hybrid Fund - Series 14 - Direct Plan - Growth
130889,Axis Hybrid Fund - Series 14 - Regular Plan - Dividend
130888,Axis Hybrid Fund - Series 14 - Regular Plan - Growth
131084,Axis Hybrid Fund - Series 15 - Direct Plan - Dividend
131083,Axis Hybrid Fund - Series 15 - Direct Plan - Growth
131082,Axis Hybrid Fund - Series 15 - Regular Plan - Dividend
131085,Axis Hybrid Fund - Series 15 - Regular Plan - Growth
133564,Axis Hybrid Fund - Series 19 - Direct plan - Dividend
133562,Axis Hybrid Fund - Series 19 - Regular Plan - Dividend
133561,Axis Hybrid Fund - Series 19 - Regular plan - Growth
133563,Axis Hybrid Fund - Series 19 -Direct Plan - Growth
134534,Axis Hybrid Fund - Series 22 - Direct Plan - Dividend
134535,Axis Hybrid Fund - Series 22 - Direct Plan - Growth
134533,Axis Hybrid Fund - Series 22 - Regular Plan - Dividend
134532,Axis Hybrid Fund - Series 22 - Regular Plan - Growth
134622,Axis Hybrid Fund - Series 23 - Direct Plan - Dividend
134621,Axis Hybrid Fund - Series 23 - Direct Plan - Growth
134619,Axis Hybrid Fund - Series 23 - Regular Plan - Growth
134620,Axis Hybrid Funs - Series 23 - Regular Plan - Dividend
134743,Axis Hybrid Fund - Series 24 - Direct Plan - Dividend
134741,Axis Hybrid Fund - Series 24 - Direct Plan - Growth
134740,Axis Hybrid Fund - Series 24 - Regular Plan - Dividend
134742,Axis Hybrid Fund - Series 24 - Regular Plan - Growth
135235,Axis Hybrid Fund - Series 25 - Direct Plan - Dividend
135233,Axis Hybrid Fund - Series 25 - Direct Plan - Growth
135234,Axis Hybrid Fund - Series 25 - Regular Plan - Dividend
135232,Axis Hybrid Fund - Series 25 - Regular Plan - Growth
135284,Axis Hybrid Fund - Series 26 - Direct Plan - Dividend
135282,Axis Hybrid Fund - Series 26 - Direct Plan - Growth
135283,Axis Hybrid Fund - Series 26 - Regular Plan - Dividend
135285,Axis Hybrid Fund - Series 26 - Regular Plan - Growth
135529,Axis Hybrid Fund - Series 27 - Direct Plan - Dividend
135528,Axis Hybrid Fund - Series 27 - Direct Plan - Growth
135526,Axis Hybrid Fund - Series 27 - Regular Plan - Dividend
135527,Axis Hybrid Fund - Series 27 - Regular Plan - Growth
135619,Axis Hybrid Fund - Series 28 - Direct Plan - Dividend
135618,Axis Hybrid Fund - Series 28 - Direct Plan - Growth
135621,Axis Hybrid Fund - Series 28 - Regular Plan - Dividend
135620,Axis Hybrid Fund - Series 28 - Regular Plan - Growth
136033,Axis Hybrid Fund Series - 29 (1275 Days) Direct Growth
136035,Axis Hybrid Fund Series - 29 (1275 Days) Dividend
136032,Axis Hybrid Fund Series - 29 (1275 Days) Growth
136131,Axis Hybrid Fund Series-30 (1297 Days) Direct Growth
136132,Axis Hybrid Fund Series-30 (1297 Days) Dividend
136130,Axis Hybrid Fund Series-30 (1297 Days) Growth
139522,Axis Hybrid Fund Series - 31 (1381) Direct Dividend
139524,Axis Hybrid Fund Series - 31 (1381) Direct Growth
139523,Axis Hybrid Fund Series - 31 (1381) Dividend
139525,Axis Hybrid Fund Series - 31 (1381) Growth
139612,Axis Hybrid Fund Series - 32 (1367 Days) Direct Dividend
139613,Axis Hybrid Fund Series - 32 (1367 Days) Direct Growth
139614,Axis Hybrid Fund Series - 32 (1367 Days) Dividend
139615,Axis Hybrid Fund Series - 32 (1367 Days) Growth
139778,Axis Hybrid Fund Series - 33 (1358 Days) - Direct Divided
139775,Axis Hybrid fund Series - 33 (1358 Days) - Direct Growth
139776,Axis Hybrid Fund Series - 33 (1358 Days) - Dividend
139777,Axis Hybrid Fund Series - 33 (1358 Days) - Growth
140112,Axis Hybrid Fund - Series 35 (1359 Days) - Direct Plan - Growth Option
140115,Axis Hybrid Fund - Series 35 (1359 Days) - Regular Plan - Dividend Option
140114,Axis Hybrid Fund - Series 35 (1359 Days)- Regular Plan Growth Option
122951,Axis Hybrid Fund - Series 5 (1346 Days) - Direct Plan - Growth
